funding_total_usd,funding_rounds,age,is_tech,success
5000000.0,1,14.0,1,1
500000.0,1,17.0,0,1
2535000.0,2,16.0,1,1
1250000.0,2,15.0,0,1
35000000.0,1,26.0,1,1
50000.0,1,17.0,1,0
700000.0,1,16.0,1,1
50000.0,1,17.0,1,0
14000000.0,1,36.0,1,1
5000000.0,1,18.0,0,0
200000000.0,1,35.0,1,0
43811.0,2,17.0,1,0
50000.0,1,18.0,0,0
1700000.0,2,15.0,0,1
50000.0,2,15.0,0,0
250000.0,1,16.0,1,0
50000.0,1,16.0,1,0
118000.0,1,14.0,0,0
4000000.0,1,15.0,1,1
85000000.0,1,28.0,1,1
3167062.0,1,27.0,0,0
500000.0,2,16.0,1,0
7289000.0,3,16.0,1,1
503000.0,2,15.0,0,0
202250.031601567,1,12.0,0,0
204952.0,1,13.0,0,0
2249999.0,2,14.0,1,1
13708150.0,3,20.0,0,0
65000000.0,3,22.0,1,1
1500000.0,1,16.0,1,1
148000000.0,3,27.0,1,1
15000000.0,3,27.0,0,1
272000.0,1,23.0,1,0
50958896.6114209,2,22.0,1,1
38064570.0,4,22.0,0,1
500000.0,1,11.0,0,0
3378975.0,1,21.0,1,1
9416354.0,6,20.0,1,1
12900000.0,6,16.0,1,1
5000000.0,1,12.0,0,0
30000000.0,2,21.0,0,1
27428.6215837652,1,11.0,0,0
12800000.0,3,19.0,0,1
3987693.0,2,13.0,0,1
7000000.0,1,18.0,1,1
17129760.0,4,17.0,0,1
1300000.0,3,17.0,1,1
3050000.0,3,13.0,1,1
5714285.71428571,1,20.0,0,1
6700000.0,2,22.0,1,1
23857750.0,5,16.0,1,1
6528902.0,3,20.0,1,0
650000.0,1,16.0,1,0
20068328.451591,4,22.0,0,1
1292301.0,1,16.0,0,0
30000000.0,1,16.0,1,1
1380700.0,1,15.0,0,0
83574271.0,5,21.0,0,1
105651.0,2,16.0,0,0
80000.0,2,17.0,0,0
70000.0,1,15.0,0,0
925000.0,2,16.0,1,1
10312103.0,2,17.0,0,0
10200000.0,1,23.0,0,0
15000.0,1,15.0,1,0
500000.0,1,18.0,1,0
6000000.0,2,19.0,0,1
500000.0,1,26.0,0,1
263400.0,1,18.0,1,0
1770000.0,1,25.0,1,1
4400000.0,2,29.0,1,0
875000.0,5,12.0,0,1
25000.0,1,19.0,0,0
805908.0,1,25.0,1,0
510000000.0,2,19.0,0,0
60000.0,1,18.0,0,0
396998.0,1,14.0,1,1
2000000.0,1,22.0,0,1
457282.0,7,18.0,1,0
60000000.0,1,27.0,0,0
225000.0,1,13.0,1,0
4500000.0,2,29.0,1,1
25305000.0,4,24.0,1,1
7131124.0,3,19.0,0,1
13793098.0,3,24.0,0,1
1999998.0,1,27.0,1,1
21376001.0,6,22.0,0,1
1155000.0,2,19.0,0,1
